"filename", "language", "JSON", "TypeScript JSX", "Markdown", "CSS", "TypeScript", "JSON with Comments", "MS SQL", "JavaScript", "Shell Script", "YAML", "XML", "comment", "blank", "total"
"d:\Persist Ventures\GoViral\components\ui\tabs.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"d:\Persist Ventures\GoViral\components\ui\textarea.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Persist Ventures\GoViral\components\ui\toast.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 142
"d:\Persist Ventures\GoViral\components\ui\toaster.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Persist Ventures\GoViral\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 62
"d:\Persist Ventures\GoViral\components\ui\toggle.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"d:\Persist Ventures\GoViral\components\ui\tooltip.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"d:\Persist Ventures\GoViral\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Persist Ventures\GoViral\components\ui\use-toast.ts", "TypeScript", 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 32, 195
"d:\Persist Ventures\GoViral\components\youtube-metrics.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"d:\Persist Ventures\GoViral\constants\subscriptionPlans.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 5, 83
"d:\Persist Ventures\GoViral\db\functions\add_coins_to_user.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 0, 11
"d:\Persist Ventures\GoViral\docs\Go Viral – FAQ.md", "Markdown", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 80
"d:\Persist Ventures\GoViral\docs\Step1.md", "Markdown", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 122
"d:\Persist Ventures\GoViral\docs\issues_fixed.md", "Markdown", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 68
"d:\Persist Ventures\GoViral\docs\v2.md", "Markdown", 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 197
"d:\Persist Ventures\GoViral\hooks\use-client-auth.tsx", "TypeScript JSX", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 84
"d:\Persist Ventures\GoViral\hooks\use-mobile.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Persist Ventures\GoViral\hooks\use-toast.ts", "TypeScript", 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 4, 33, 202
"d:\Persist Ventures\GoViral\lib\auth-utils.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 15, 6, 59
"d:\Persist Ventures\GoViral\lib\currency-utils.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 13, 3, 22
"d:\Persist Ventures\GoViral\lib\date-utils.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 24, 10, 61
"d:\Persist Ventures\GoViral\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 21, 14, 92
"d:\Persist Ventures\GoViral\lib\youtube-api.ts", "TypeScript", 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 22, 56, 341
"d:\Persist Ventures\GoViral\lib\youtube-utils.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 2, 9, 56
"d:\Persist Ventures\GoViral\middleware.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 8, 13, 79
